ID,Category,Name,Price (EGP),Alcohol Percentage,ON SALE OR OFFER,notes,Description
1,Beer,Desperados Can 330ml,55,4.5%,no,,Desperados Can 330ml is a testament to quality and tradition. A classic premium brew crafted with the finest hops and barley. Enjoy responsibly and elevate your next celebration with this exquisite choice.
2,Beer,Heineken Bottle 330ml,55,5%,no,,"Heineken Bottle 330ml (1) is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
4,Beer,Heineken Can 330ml,55,5%,no,,Heineken Can 330ml is a testament to quality and tradition. A classic premium brew crafted with the finest hops and barley. Enjoy responsibly and elevate your next celebration with this exquisite choice.
5,Beer,Heineken Can 500ml,70,5%,,,"Heineken Can 500ml is a testament to quality and tradition. Light, easily drinkable with subtle citrus notes. Enjoy responsibly and elevate your next celebration with this exquisite choice."
6,Beer,Meister Max Bottle 330ml,55,8%,yes,,Meister Max Bottle 330ml is a testament to quality and tradition. Rich and malty with a robust flavor profile and smooth head. Enjoy responsibly and elevate your next celebration with this exquisite choice.
7,Beer,Meister Max Can 500ml,60,8%,yes,,"Meister Max Can 500ml is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
new,,Meister Max Bottle 500ml,65,8%,yes,,
8,Beer,Sakara El King Bottle 500ml,70,10%,yes,,Sakara El King Bottle 500ml is a testament to quality and tradition. Rich and malty with a robust flavor profile and smooth head. Enjoy responsibly and elevate your next celebration with this exquisite choice.
9,Beer,Sakara ElKing Can 500ml,70,10%,yes,,"Sakara ElKing Can 500ml is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
10,Beer,Sakara Gold Bottle 500ml,60,4%,yes,,"Sakara Gold Bottle 500ml is a testament to quality and tradition. Light, easily drinkable with subtle citrus notes. Enjoy responsibly and elevate your next celebration with this exquisite choice."
11,Beer,Sakara king Can 500ml,80,15%,yes,,"Sakara king Can 500ml is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
12,Beer,Sol Bottle 330ml,55,4.5%,,,"Sol Bottle 330ml is a testament to quality and tradition. Light, easily drinkable with subtle citrus notes. Enjoy responsibly and elevate your next celebration with this exquisite choice."
new,Beer,Sakara Can 500ml,80,15%,,,
13,Beer,Stella 330ml Bottle,50,4.5%,,,"Stella 330ml Bottle is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
14,Beer,Stella Can 330ml,50,4.5%,,,Stella Can 330ml is a testament to quality and tradition. Rich and malty with a robust flavor profile and smooth head. Enjoy responsibly and elevate your next celebration with this exquisite choice.
15,Beer,Stella Can 500ml,60,4.5%,,,"Stella Can 500ml is a testament to quality and tradition. Light, easily drinkable with subtle citrus notes. Enjoy responsibly and elevate your next celebration with this exquisite choice."
16,Beer,Stella One Way Bottle 500ml,60,4.5%,,,Stella One Way Bottle 500ml is a testament to quality and tradition. A classic premium brew crafted with the finest hops and barley. Enjoy responsibly and elevate your next celebration with this exquisite choice.
17,Beer,Stella Returnable Bottle 500ml,50,4.5%,,,"Stella Returnable Bottle 500ml is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
18,Spirits,Champollion Brandy 250ml,75,40%,,,"Champollion Brandy 250ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
19,Spirits,Champollion Brandy 500ml,120,40%,,,"Champollion Brandy 500ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
20,Spirits,Yanni Brandy 1L,175,40%,yes,,"Yanni Brandy 1L is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
21,Spirits,Butler’s Gin 750ml,525,40%,,,"Butler’s Gin 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
22,Spirits,Harry’s Premium Gin 750ml,500,40%,,,"Harry’s Premium Gin 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
23,Spirits,Mosaic Gin The Bartender Edition 750ml,220,40%,,,"Mosaic Gin The Bartender Edition 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
24,Spirits,Yanni Gin 1L,175,40%,yes,,"Yanni Gin 1L is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
25,RTDs,BUTLERS Apple Cin 10%,60,10%,yes,,BUTLERS Apple Cin 10% is a testament to quality and tradition. The perfect balance of premium spirits and natural mixers. Enjoy responsibly and elevate your next celebration with this exquisite choice.
26,RTDs,Blue40 Freeze Original,60,10%,yes,,"Blue40 Freeze Original is a testament to quality and tradition. Refreshing and vibrant, delivering a burst of fruit flavors. Enjoy responsibly and elevate your next celebration with this exquisite choice."
27,RTDs,Blue40 Freeze Pink Berry,60,10%,yes,,Blue40 Freeze Pink Berry is a testament to quality and tradition. Chill and serve for an instant premium bar experience. Enjoy responsibly and elevate your next celebration with this exquisite choice.
28,RTDs,Blue40 Freeze Sky Colada,60,10%,yes,,Blue40 Freeze Sky Colada is a testament to quality and tradition. Chill and serve for an instant premium bar experience. Enjoy responsibly and elevate your next celebration with this exquisite choice.
29,RTDs,Butler's Gin Lemon Mint 275ml,60,10%,yes,,Butler's Gin Lemon Mint 275ml is a testament to quality and tradition. Chill and serve for an instant premium bar experience. Enjoy responsibly and elevate your next celebration with this exquisite choice.
30,RTDs,Butler's XXX Gin Lemon Mint 275ml,65,15%,yes,,"Butler's XXX Gin Lemon Mint 275ml is a testament to quality and tradition. A convenient, perfectly mixed cocktail ready to enjoy. Enjoy responsibly and elevate your next celebration with this exquisite choice."
32,RTDs,ID Double Edge Energy 275ml,60,10%,yes,,ID Double Edge Energy 275ml is a testament to quality and tradition. The perfect balance of premium spirits and natural mixers. Enjoy responsibly and elevate your next celebration with this exquisite choice.
34,RTDs,ID Double Edge Watermelon 275ml,60,10%,yes,,ID Double Edge Watermelon 275ml is a testament to quality and tradition. Chill and serve for an instant premium bar experience. Enjoy responsibly and elevate your next celebration with this exquisite choice.
35,RTDs,ID XXX Cherry 275ml,65,15%,yes,,"ID XXX Cherry 275ml is a testament to quality and tradition. A convenient, perfectly mixed cocktail ready to enjoy. Enjoy responsibly and elevate your next celebration with this exquisite choice."
36,RTDs,ID XXXX Mango 275ml,75,20%,yes,,"ID XXXX Mango 275ml is a testament to quality and tradition. Refreshing and vibrant, delivering a burst of fruit flavors. Enjoy responsibly and elevate your next celebration with this exquisite choice."
37,RTDs,ID XXXX Pineapple & Coconut 275ml,75,20%,yes,,ID XXXX Pineapple & Coconut 275ml is a testament to quality and tradition. The perfect balance of premium spirits and natural mixers. Enjoy responsibly and elevate your next celebration with this exquisite choice.
38,RTDs,ID XXXX Watermelon 275ml,75,20%,yes,,"ID XXXX Watermelon 275ml is a testament to quality and tradition. Refreshing and vibrant, delivering a burst of fruit flavors. Enjoy responsibly and elevate your next celebration with this exquisite choice."
